"Response number","Vote for the class representative"
1,"Endorse (รับรอง)"
2,"Endorse (รับรอง)"
3,"Endorse (รับรอง)"
4,"Endorse (รับรอง)"
5,"No vote (ไม่ประสงค์ลงคะเเนน)"
6,"Endorse (รับรอง)"
7,"Endorse (รับรอง)"
8,"No vote (ไม่ประสงค์ลงคะเเนน)"
9,"Endorse (รับรอง)"
10,"Endorse (รับรอง)"
11,"Endorse (รับรอง)"
12,"Endorse (รับรอง)"
13,"Endorse (รับรอง)"
14,"No vote (ไม่ประสงค์ลงคะเเนน)"
15,"Endorse (รับรอง)"
16,"Endorse (รับรอง)"
17,"Endorse (รับรอง)"
18,"Endorse (รับรอง)"
19,"Endorse (รับรอง)"
20,"Endorse (รับรอง)"
21,"Endorse (รับรอง)"
22,"Endorse (รับรอง)"
23,"Endorse (รับรอง)"
24,"Not endorse (ไม่รับรอง)"
25,"Endorse (รับรอง)"
26,"Endorse (รับรอง)"
27,"No vote (ไม่ประสงค์ลงคะเเนน)"
28,"Endorse (รับรอง)"
29,"No vote (ไม่ประสงค์ลงคะเเนน)"
30,"No vote (ไม่ประสงค์ลงคะเเนน)"
31,"Endorse (รับรอง)"
32,"No vote (ไม่ประสงค์ลงคะเเนน)"
33,"Endorse (รับรอง)"
34,"Endorse (รับรอง)"
35,"Endorse (รับรอง)"
36,"Endorse (รับรอง)"
37,"Endorse (รับรอง)"
38,"No vote (ไม่ประสงค์ลงคะเเนน)"
39,"Endorse (รับรอง)"
40,"Not endorse (ไม่รับรอง)"
41,"Endorse (รับรอง)"
42,"Endorse (รับรอง)"
43,"Endorse (รับรอง)"
44,"Endorse (รับรอง)"
45,"No vote (ไม่ประสงค์ลงคะเเนน)"
46,"Endorse (รับรอง)"
47,"Endorse (รับรอง)"
48,"Endorse (รับรอง)"
49,"Endorse (รับรอง)"
50,"Endorse (รับรอง)"
51,"Endorse (รับรอง)"
52,"Endorse (รับรอง)"
53,"Endorse (รับรอง)"
54,"No vote (ไม่ประสงค์ลงคะเเนน)"
55,"Endorse (รับรอง)"
56,"Endorse (รับรอง)"
57,"Endorse (รับรอง)"
58,"Not endorse (ไม่รับรอง)"
59,"Endorse (รับรอง)"
60,"No vote (ไม่ประสงค์ลงคะเเนน)"
61,"Endorse (รับรอง)"
62,"Endorse (รับรอง)"
63,"Endorse (รับรอง)"
64,"Endorse (รับรอง)"
65,"Endorse (รับรอง)"
66,"Endorse (รับรอง)"
67,"Endorse (รับรอง)"
68,"Endorse (รับรอง)"
69,"Endorse (รับรอง)"
70,"Endorse (รับรอง)"
71,"Endorse (รับรอง)"
72,"Endorse (รับรอง)"
