"Response number","Vote for the class representative"
1,"Endorse (รับรอง)"
2,"Endorse (รับรอง)"
3,"Endorse (รับรอง)"
4,"Endorse (รับรอง)"
5,"Not endorse (ไม่รับรอง)"
6,"No vote (ไม่ประสงค์ลงคะเเนน)"
7,"Endorse (รับรอง)"
8,"Not endorse (ไม่รับรอง)"
9,"Not endorse (ไม่รับรอง)"
10,"Endorse (รับรอง)"
11,"Endorse (รับรอง)"
12,"Endorse (รับรอง)"
13,"No vote (ไม่ประสงค์ลงคะเเนน)"
14,"Endorse (รับรอง)"
15,"Not endorse (ไม่รับรอง)"
16,"Endorse (รับรอง)"
17,"Endorse (รับรอง)"
18,"Endorse (รับรอง)"
19,"Endorse (รับรอง)"
20,"Endorse (รับรอง)"
21,"Endorse (รับรอง)"
22,"Endorse (รับรอง)"
23,"Endorse (รับรอง)"
24,"Not endorse (ไม่รับรอง)"
25,"Endorse (รับรอง)"
26,"Endorse (รับรอง)"
27,"Endorse (รับรอง)"
28,"Endorse (รับรอง)"
29,"No vote (ไม่ประสงค์ลงคะเเนน)"
30,"Not endorse (ไม่รับรอง)"
31,"Endorse (รับรอง)"
32,"Endorse (รับรอง)"
33,"Endorse (รับรอง)"
34,"Not endorse (ไม่รับรอง)"
35,"Endorse (รับรอง)"
36,"Endorse (รับรอง)"
37,"Not endorse (ไม่รับรอง)"
38,"Endorse (รับรอง)"
39,"Endorse (รับรอง)"
40,"Endorse (รับรอง)"
41,"Endorse (รับรอง)"
42,"No vote (ไม่ประสงค์ลงคะเเนน)"
43,"Endorse (รับรอง)"
44,"Endorse (รับรอง)"
45,"Endorse (รับรอง)"
46,"No vote (ไม่ประสงค์ลงคะเเนน)"
47,"Endorse (รับรอง)"
48,"Endorse (รับรอง)"
49,"Endorse (รับรอง)"
50,"Endorse (รับรอง)"
51,"Endorse (รับรอง)"
52,"Endorse (รับรอง)"
53,"Endorse (รับรอง)"
54,"No vote (ไม่ประสงค์ลงคะเเนน)"
55,"No vote (ไม่ประสงค์ลงคะเเนน)"
56,"Endorse (รับรอง)"
57,"Not endorse (ไม่รับรอง)"
58,"No vote (ไม่ประสงค์ลงคะเเนน)"
59,"Endorse (รับรอง)"
60,"Endorse (รับรอง)"
61,"Endorse (รับรอง)"
62,"No vote (ไม่ประสงค์ลงคะเเนน)"
63,"Endorse (รับรอง)"
64,"Endorse (รับรอง)"
65,"Endorse (รับรอง)"
66,"Endorse (รับรอง)"
67,"No vote (ไม่ประสงค์ลงคะเเนน)"
68,"Endorse (รับรอง)"
69,"Endorse (รับรอง)"
70,"No vote (ไม่ประสงค์ลงคะเเนน)"
71,"Endorse (รับรอง)"
72,"Endorse (รับรอง)"
73,"Endorse (รับรอง)"
74,"Endorse (รับรอง)"
75,"Endorse (รับรอง)"
76,"Endorse (รับรอง)"
77,"No vote (ไม่ประสงค์ลงคะเเนน)"
78,"Endorse (รับรอง)"
79,"Endorse (รับรอง)"
80,"Endorse (รับรอง)"
81,"Endorse (รับรอง)"
82,"Not endorse (ไม่รับรอง)"
83,"Endorse (รับรอง)"
84,"Endorse (รับรอง)"
85,"Endorse (รับรอง)"
86,"Endorse (รับรอง)"
87,"Endorse (รับรอง)"
88,"Endorse (รับรอง)"
89,"No vote (ไม่ประสงค์ลงคะเเนน)"
90,"Endorse (รับรอง)"
91,"Endorse (รับรอง)"
92,"Endorse (รับรอง)"
93,"Endorse (รับรอง)"
94,"Endorse (รับรอง)"
95,"Not endorse (ไม่รับรอง)"
96,"Endorse (รับรอง)"
97,"Endorse (รับรอง)"
98,"Endorse (รับรอง)"
99,"Endorse (รับรอง)"
100,"Endorse (รับรอง)"
101,"Endorse (รับรอง)"
102,"No vote (ไม่ประสงค์ลงคะเเนน)"
103,"Endorse (รับรอง)"
104,"Endorse (รับรอง)"
105,"Endorse (รับรอง)"
106,"Endorse (รับรอง)"
107,"Endorse (รับรอง)"
108,"Endorse (รับรอง)"
109,"Endorse (รับรอง)"
110,"Endorse (รับรอง)"
111,"No vote (ไม่ประสงค์ลงคะเเนน)"
112,"Not endorse (ไม่รับรอง)"
113,"Endorse (รับรอง)"
114,"Endorse (รับรอง)"
115,"No vote (ไม่ประสงค์ลงคะเเนน)"
116,"Endorse (รับรอง)"
117,"Endorse (รับรอง)"
118,"Endorse (รับรอง)"
119,"Endorse (รับรอง)"
120,"Endorse (รับรอง)"
121,"Endorse (รับรอง)"
122,"Endorse (รับรอง)"
123,"Endorse (รับรอง)"
124,"Endorse (รับรอง)"
125,"Endorse (รับรอง)"
126,"Endorse (รับรอง)"
127,"Endorse (รับรอง)"
128,"Endorse (รับรอง)"
129,"No vote (ไม่ประสงค์ลงคะเเนน)"
130,"Endorse (รับรอง)"
131,"Endorse (รับรอง)"
132,"Endorse (รับรอง)"
133,"Endorse (รับรอง)"
134,"Endorse (รับรอง)"
135,"Endorse (รับรอง)"
136,"Endorse (รับรอง)"
137,"No vote (ไม่ประสงค์ลงคะเเนน)"
138,"Endorse (รับรอง)"
139,"Not endorse (ไม่รับรอง)"
140,"Endorse (รับรอง)"
141,"Endorse (รับรอง)"
142,"Endorse (รับรอง)"
