"Response number","Vote for the class representative"
1,"No vote (ไม่ประสงค์ลงคะเเนน)"
2,"Endorse (รับรอง)"
3,"Endorse (รับรอง)"
4,"Endorse (รับรอง)"
5,"Endorse (รับรอง)"
6,"Endorse (รับรอง)"
7,"No vote (ไม่ประสงค์ลงคะเเนน)"
8,"Endorse (รับรอง)"
9,"No vote (ไม่ประสงค์ลงคะเเนน)"
10,"Endorse (รับรอง)"
11,"Endorse (รับรอง)"
12,"Endorse (รับรอง)"
13,"Endorse (รับรอง)"
14,"Endorse (รับรอง)"
15,"No vote (ไม่ประสงค์ลงคะเเนน)"
16,"Endorse (รับรอง)"
17,"Endorse (รับรอง)"
18,"No vote (ไม่ประสงค์ลงคะเเนน)"
19,"Endorse (รับรอง)"
20,"Endorse (รับรอง)"
21,"Endorse (รับรอง)"
22,"Endorse (รับรอง)"
23,"No vote (ไม่ประสงค์ลงคะเเนน)"
24,"Endorse (รับรอง)"
25,"Endorse (รับรอง)"
26,"Endorse (รับรอง)"
27,"Endorse (รับรอง)"
28,"Endorse (รับรอง)"
29,"Endorse (รับรอง)"
30,"Endorse (รับรอง)"
31,"Endorse (รับรอง)"
32,"Endorse (รับรอง)"
33,"Endorse (รับรอง)"
34,"Not endorse (ไม่รับรอง)"
35,"Endorse (รับรอง)"
36,"Endorse (รับรอง)"
37,"Endorse (รับรอง)"
38,"No vote (ไม่ประสงค์ลงคะเเนน)"
39,"Endorse (รับรอง)"
40,"Endorse (รับรอง)"
41,"Endorse (รับรอง)"
42,"Endorse (รับรอง)"
43,"Endorse (รับรอง)"
44,"Endorse (รับรอง)"
45,"Endorse (รับรอง)"
46,"Endorse (รับรอง)"
47,"No vote (ไม่ประสงค์ลงคะเเนน)"
48,"Not endorse (ไม่รับรอง)"
49,"Endorse (รับรอง)"
50,"Endorse (รับรอง)"
51,"Endorse (รับรอง)"
52,"Endorse (รับรอง)"
53,"No vote (ไม่ประสงค์ลงคะเเนน)"
54,"Endorse (รับรอง)"
55,"Endorse (รับรอง)"
56,"Endorse (รับรอง)"
57,"Endorse (รับรอง)"
58,"Endorse (รับรอง)"
59,"Endorse (รับรอง)"
60,"Endorse (รับรอง)"
61,"Endorse (รับรอง)"
62,"Endorse (รับรอง)"
63,"Endorse (รับรอง)"
64,"Endorse (รับรอง)"
65,"No vote (ไม่ประสงค์ลงคะเเนน)"
66,"Endorse (รับรอง)"
